Unnamed: 0,PC 1,PC 2,PC 3
,-0.3248266970063664,1.0273406906592533,-0.5366494678125043
,-0.16022240977708876,-1.1101966483345478,-0.04466976130901376
,-0.284091270673979,0.28246705035029357,-0.3365182590148399
,-0.18929817471742194,-1.2938993730719202,0.15993794264107314
,-0.15732399041026796,-1.1102789094910437,-0.04471252721307006
,-0.3872763069123424,1.2096172580112694,-0.42602240377067563
FLT,-0.26026028710778343,0.1364140035231345,0.11771470298844293
FRK,-0.146461712152067,-1.3367660038073477,0.21319650069258175
,-0.28277601518735385,1.7484596811663535,-0.5041763101186729
,-0.317250379931667,1.0269380873659972,-0.536708401435809
FTC,3.8616534265990845,-2.324111339320719,0.27759702239986306
GDC,0.45791918884281163,-2.3051365858867077,0.3496923017115141
GLC,-0.02583124879592598,0.610465530936085,0.333177986727778
